algorithm_a,algorithm_b,rank_a,rank_b,rank_diff,critical_difference,significantly_different
ECOD,DeepSVDD,10.058823529411764,10.529411764705882,0.47058823529411775,4.811972329475607,False
ECOD,IQR,10.058823529411764,10.529411764705882,0.47058823529411775,4.811972329475607,False
ECOD,OCSVM,10.058823529411764,10.823529411764707,0.764705882352942,4.811972329475607,False
ECOD,LOF,10.058823529411764,10.941176470588236,0.882352941176471,4.811972329475607,False
COPOD,DeepSVDD,10.529411764705882,10.529411764705882,0.0,4.811972329475607,False
COPOD,IQR,10.529411764705882,10.529411764705882,0.0,4.811972329475607,False
COPOD,OCSVM,10.529411764705882,10.823529411764707,0.29411764705882426,4.811972329475607,False
COPOD,LOF,10.529411764705882,10.941176470588236,0.41176470588235325,4.811972329475607,False
DeepSVDD,IQR,10.529411764705882,10.529411764705882,0.0,4.811972329475607,False
DeepSVDD,OCSVM,10.529411764705882,10.823529411764707,0.29411764705882426,4.811972329475607,False
DeepSVDD,LOF,10.529411764705882,10.941176470588236,0.41176470588235325,4.811972329475607,False
IQR,OCSVM,10.529411764705882,10.823529411764707,0.29411764705882426,4.811972329475607,False
IQR,LOF,10.529411764705882,10.941176470588236,0.41176470588235325,4.811972329475607,False
OCSVM,LOF,10.823529411764707,10.941176470588236,0.117647058823529,4.811972329475607,False
