dataset_name,algorithm_name,auc_roc,auc_pr,f1_best,fit_time_sec,predict_time_sec,seed,timestamp,notes,experiment_name,modality,status,best_threshold,contamination_mode,contamination_rate,label_flip_rate,n_train,n_test,train_anomaly_rate,test_anomaly_rate,fit_params,artifact_path,error_type,error_message
cardio,Defended_XGBoost_IQR_Trim,0.999201,0.993682,0.971429,0.060269,0.001092,42,2026-06-04T14:47:18Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.923271,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_IQR_Trim_5b8899145a.npz,,
cardio,Defended_XGBoost_IQR_Flip,0.983072,0.848604,0.8,0.077075,0.00143,42,2026-06-04T14:47:18Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.037178,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_IQR_Flip_4674403e10.npz,,
cardio,Defended_XGBoost_LOF_Trim,0.998669,0.988665,0.961538,0.134584,0.001452,42,2026-06-04T14:47:18Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.916965,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_LOF_Trim_1b941b9e30.npz,,
cardio,Defended_XGBoost_LOF_Flip,0.961351,0.724332,0.697248,0.148358,0.001513,42,2026-06-04T14:47:18Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.488114,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_LOF_Flip_ad1336c808.npz,,
cardio,Defended_XGBoost_KNN_Trim,0.999467,0.995164,0.962963,0.134451,0.001372,42,2026-06-04T14:47:18Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.50791,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_KNN_Trim_84d62eeedf.npz,,
cardio,Defended_XGBoost_KNN_Flip,0.982387,0.859169,0.807018,0.139677,0.001272,42,2026-06-04T14:47:18Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.378845,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_KNN_Flip_55c825d555.npz,,
cardio,Defended_XGBoost_IForest_Trim,0.996082,0.970739,0.912621,0.289782,0.001374,42,2026-06-04T14:47:19Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.881521,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_IForest_Trim_cc73d7b796.npz,,
cardio,Defended_XGBoost_IForest_Flip,0.97516,0.838846,0.747826,0.301001,0.001338,42,2026-06-04T14:47:19Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.238531,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_IForest_Flip_5b120e9f84.npz,,
cardio,Defended_XGBoost_ECOD_Trim,0.994979,0.96976,0.941176,0.076159,0.001209,42,2026-06-04T14:47:19Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.886136,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_ECOD_Trim_44b33b301f.npz,,
cardio,Defended_XGBoost_ECOD_Flip,0.974513,0.806724,0.766667,0.096679,0.001375,42,2026-06-04T14:47:19Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.508675,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_XGBoost_ECOD_Flip_505cf46431.npz,,
